Train Set 	 Validation Set 
0.9573258148339339 	 11.44374728371911 
0.31105099583920637 	 7.362798839596147 
0.16760899146037747 	 6.260733029521105 
0.06265558980682948 	 1.7547547225411058 
0.014684661236673233 	 0.027702624790687507 
0.002628983983388762 	 0.00016448150078455603 
0.0001167579284701017 	 3.603956088711052e-05 
0.00026287171536533004 	 2.315378582133113e-05 
4.199894609986403e-05 	 1.4474640791519077e-05 
1.2283206550821906e-05 	 1.0575847027341151e-05 
9.345775456948548e-06 	 8.40174608832103e-06 
0.00012364647422418871 	 9.044386181858173e-06 
0.0006069285327804647 	 8.664195865358834e-06 
0.00010903315573505696 	 7.2348275546361e-06 
6.123311250524327e-06 	 5.3996673481933555e-06 
4.917463896283083e-06 	 4.564050223762152e-06 
4.230849036481994e-06 	 3.975169007480228e-06 
3.7258864058357385e-06 	 3.530090785032578e-06 
3.351453491254775e-06 	 3.228605282534218e-06 
3.044205635391502e-06 	 2.9447111169021604e-06 
2.797649322678877e-06 	 2.700942554548284e-06 
2.587152466767551e-06 	 2.5084857094714225e-06 
6.887949318040242e-05 	 2.9941328912882587e-06 
2.7309819587867663e-06 	 2.529160926785817e-06 
2.390702165765704e-06 	 2.2778186214815727e-06 
2.1779353461748967e-06 	 2.16528561969613e-06 
2.0139690479513075e-06 	 1.9517679089752146e-06 
1.886075427632761e-06 	 1.8356264063315252e-06 
1.7694083992545097e-06 	 1.7303777733736783e-06 
1.6712529869846683e-06 	 1.636881534197386e-06 
1.5887148920036022e-06 	 1.557433263105398e-06 
1.5128830281046808e-06 	 1.487382781415879e-06 
9.380273014501748e-05 	 0.12282668952400802 
9.514211637700473e-06 	 1.8016088436892693e-06 
1.6515615890952072e-06 	 1.539961795705694e-06 
5.529442910232747e-05 	 2.070612287965598e-06 
1.4406529152651868e-06 	 1.379299140592058e-06 
1.3298257603811962e-06 	 1.286409439239672e-06 
1.27209939985074e-06 	 1.2325049976799482e-06 
1.2014115631097278e-06 	 1.1682911063220388e-06 
1.1413150401524248e-06 	 1.1202677913078857e-06 
1.0978520283472032e-06 	 1.0802001215521439e-06 
1.0558741371266202e-06 	 1.0453930368797866e-06 
1.0208366961454027e-06 	 1.0039796149051633e-06 
9.838536012212034e-07 	 9.745843365487305e-07 
9.529774662368726e-07 	 9.395408671080334e-07 
7.888777112062163e-06 	 9.752457746334913e-07 
9.39371480681689e-07 	 9.165914647421735e-07 
8.966670277576116e-07 	 8.880808296285615e-07 
8.642676134820573e-07 	 8.883668447487388e-07 
8.370202203923648e-07 	 8.277836352767766e-07 
8.161526280968488e-07 	 8.028002770167423e-07 
7.912307902909149e-07 	 7.889288412090202e-07 
7.726310763857975e-07 	 7.643157343718873e-07 
7.501596891015579e-07 	 7.446864150010023e-07 
7.336033592910208e-07 	 7.25461291846409e-07 
7.211376330262043e-07 	 7.171405392929297e-07 
0.00011475349457467884 	 7.844158478698599e-07 
7.416708772549762e-07 	 7.205840184653412e-07 
7.017182468671042e-07 	 6.910797732906764e-07 
9.063437070999737e-05 	 1.4413957363471356e-06 
9.80384936347467e-07 	 8.494227137900635e-07 
4.016895600733721e-05 	 8.491325349902406e-07 
8.040747976587146e-07 	 7.78583992070953e-07 
7.521063351997626e-07 	 7.358165114816875e-07 
7.16683506371588e-07 	 7.031779121281415e-07 
6.863369105953091e-07 	 6.736927066767814e-07 
6.635384700925029e-07 	 6.500996715200429e-07 
6.389541878562784e-07 	 6.333888246986811e-07 
6.208199640785267e-07 	 6.160696194514305e-07 
6.066815228414702e-07 	 5.972414326813078e-07 
5.889156036601173e-07 	 5.817268044104802e-07 
5.740842245463502e-07 	 5.718917657546587e-07 
5.60574730608817e-07 	 5.583417935906629e-07 
5.482462738160569e-07 	 5.46088026341543e-07 
5.367207352949456e-07 	 5.33455129614414e-07 
5.265617008854457e-07 	 5.222544548311643e-07 
5.19167388060434e-07 	 5.173058361059645e-07 
5.600248657283225e-07 	 5.309736958766503e-07 
5.165027634432495e-07 	 5.076735696164191e-07 
5.001074080125609e-07 	 5.687358239772446e-07 
4.894121109577163e-07 	 4.841029646308764e-07 
4.7666441477407536e-07 	 4.772370488327971e-07 
4.669291190294097e-07 	 4.658634491127661e-07 
4.834591564975809e-07 	 4.607860812532809e-07 
4.5524354149749816e-07 	 4.5324754977731093e-07 
4.465450170482563e-07 	 4.4749730580838497e-07 
4.3861204717052356e-07 	 4.491409925270329e-07 
4.325602669061853e-07 	 4.2930947668066676e-07 
4.267352729925388e-07 	 4.247569888565981e-07 
4.18942474749652e-07 	 4.171503001056898e-07 
4.118785367909653e-07 	 4.0937188295181025e-07 
4.049400413240761e-07 	 4.085818045818642e-07 
4.002177194050961e-07 	 3.9852569582292084e-07 
3.944922945534076e-07 	 3.936813682423931e-07 
3.8892825017140996e-07 	 3.9061679359318427e-07 
5.8891189517944245e-06 	 4.967398234652434e-07 
4.3016849642394623e-07 	 5.157807779741757e-07 
4.016275214865944e-07 	 3.970675548926202e-07 
3.8997968626748154e-07 	 3.8825545508311515e-07 
