Train Set 	 Validation Set 
0.6666788159698326 	 10.731460167617394 
0.21871802897623466 	 10.697621756893318 
0.10977553945692316 	 10.082926959189425 
0.03844725013884211 	 1.421266858008737 
0.009633251090875303 	 0.00563709983932577 
0.003189805460291356 	 7.503642642258998e-05 
0.0001458299445645191 	 1.925746357860471e-05 
0.0005911474128271133 	 1.4772556092075547e-05 
1.0613806306772002e-05 	 8.211369556588812e-06 
2.1644585631999978e-05 	 6.079504525600678e-06 
5.227824748017752e-06 	 4.656578752463018e-06 
4.187329019708359e-06 	 3.801212547579327e-06 
3.492300251217094e-06 	 3.2372840529629834e-06 
2.9916903509410473e-06 	 2.817420374148997e-06 
2.6220951954946303e-06 	 2.4872547170119815e-06 
7.47962404622378e-05 	 2.7680617162713473e-06 
1.124330695347417e-05 	 2.3217053417221696e-06 
0.00013345133808219473 	 2.9463058160757993e-06 
0.00010772255846618628 	 2.2262078935209898e-06 
2.0159065670521254e-06 	 1.8178283685951365e-06 
1.6987236401445904e-06 	 1.6415755389305204e-06 
1.5262220738949039e-06 	 1.499825330664834e-06 
1.4048494239274838e-06 	 1.360173572601885e-06 
1.2957230642189965e-06 	 1.2727562708561541e-06 
1.2064532273072274e-06 	 1.2038278541470886e-06 
1.1288673047345678e-06 	 1.1061819459448343e-06 
1.0662174420173953e-06 	 1.045436277634868e-06 
1.0027353727975308e-06 	 9.8420299150329e-07 
9.539444962130808e-07 	 9.373060275530288e-07 
9.060851106643749e-07 	 8.938259706133265e-07 
8.645829691231949e-07 	 8.561777750431372e-07 
8.26879746536569e-07 	 8.205194252189662e-07 
7.935462605503022e-07 	 7.80206451202418e-07 
7.645876223096967e-07 	 7.526868060211108e-07 
7.363319402199003e-07 	 7.269173011651734e-07 
7.05958646776786e-07 	 7.013300396975978e-07 
6.802602406207995e-07 	 6.798973317922383e-07 
0.00016508112693369863 	 1.108287942598179e-06 
8.242746555750216e-07 	 8.057878864332577e-07 
2.1311924260616376e-06 	 8.665424789858612e-07 
1.0034622731502621e-05 	 7.671212928452765e-07 
7.098103626640183e-07 	 6.862047674600943e-07 
6.545350780909464e-07 	 6.381784770243539e-07 
6.169809017752553e-07 	 6.051706242243066e-07 
5.902834866955921e-07 	 5.876284666928435e-07 
5.645737357537237e-07 	 5.593360554462829e-07 
5.451727890092734e-07 	 5.390577285666075e-07 
5.277795417786166e-07 	 5.198309589039268e-07 
5.063809957345582e-07 	 5.038226030221552e-07 
4.913776384089151e-07 	 4.907898899133802e-07 
4.773460339663804e-07 	 4.788947406628713e-07 
4.6577320852378925e-07 	 4.752538750775532e-07 
4.510503674844453e-07 	 4.5420164596074137e-07 
4.3989475128970034e-07 	 4.370262607198394e-07 
4.285082384979178e-07 	 4.260179577015372e-07 
4.168165330488088e-07 	 4.1763667301678785e-07 
4.0594874412168174e-07 	 4.0684673483891316e-07 
3.984859147799455e-07 	 3.998055104370829e-07 
3.8980139181849527e-07 	 3.8862395159070535e-07 
3.8013469967805056e-07 	 3.7945646179646234e-07 
3.720735689958614e-07 	 3.7250567069933974e-07 
3.6404362323241497e-07 	 3.637216720940852e-07 
3.564947321087808e-07 	 3.553940230294926e-07 
3.4864847930984855e-07 	 3.488508314426261e-07 
3.42149482066675e-07 	 3.420394642876804e-07 
3.3638329730788186e-07 	 3.3749531875441625e-07 
3.301235728991825e-07 	 3.3029556570298953e-07 
3.2418695201001384e-07 	 3.2569843292228816e-07 
3.170088985317834e-07 	 3.182565010095959e-07 
3.118102548933036e-07 	 3.1116741555714375e-07 
3.103061507403403e-07 	 3.099087782242924e-07 
3.044682938046085e-07 	 3.0222353482424027e-07 
2.965560501946942e-07 	 2.952389533775961e-07 
2.9131246911659974e-07 	 2.939740906535528e-07 
2.8662083774871055e-07 	 2.876584758651457e-07 
2.8291174236799945e-07 	 2.8101137799107235e-07 
2.7647390498014197e-07 	 2.782147711876402e-07 
2.7269821904368355e-07 	 2.7394073418362583e-07 
2.691441926724412e-07 	 2.704376396965907e-07 
2.6436073526485035e-07 	 2.669217768258477e-07 
2.6385693160704757e-07 	 2.626033582026269e-07 
2.5804027074257163e-07 	 2.587289267291215e-07 
2.52615805217576e-07 	 2.5221709080156e-07 
2.499571358750255e-07 	 2.5291901328271253e-07 
2.451383219287432e-07 	 2.505388225921718e-07 
2.42937686159213e-07 	 2.4363406367871446e-07 
2.390615462308276e-07 	 2.3991676938616436e-07 
2.3588615581511244e-07 	 2.4640058978701013e-07 
2.3298394089081016e-07 	 2.356801802123144e-07 
2.3011321632958696e-07 	 2.3063195958753385e-07 
2.269203997754024e-07 	 2.287041780537592e-07 
2.2510234229909644e-07 	 2.2642403557947253e-07 
2.2081569184061432e-07 	 2.2046774008786717e-07 
2.1832386435690014e-07 	 2.1989137017174846e-07 
2.1502085324084643e-07 	 2.244379270943347e-07 
2.1445781288370837e-07 	 2.1449696992856457e-07 
2.1026413270528867e-07 	 2.1251658054670178e-07 
2.084459966427358e-07 	 2.0924824763832643e-07 
2.0712309414000128e-07 	 2.093946327227697e-07 
2.0344685197143363e-07 	 2.0456354528351992e-07 
