Train Set 	 Validation Set 
0.6335422766115224 	 10.817793520802871 
0.1900878228392698 	 10.466778892489472 
0.08256773884742118 	 5.001594936505762 
0.019381847862279762 	 0.007230650918857529 
0.0032061608659207487 	 0.05517209196331998 
0.0005125445936467386 	 0.004485739034916184 
4.9183626614606475e-05 	 1.2584155812767208e-05 
1.0054769542344048e-05 	 8.22378249831946e-06 
0.00035892697199644847 	 0.004803976964229359 
3.5704482455533066e-05 	 5.8551037484902895e-06 
5.02901109141176e-06 	 4.447849014313878e-06 
2.646358235513058e-05 	 3.805589963054631e-06 
3.426053133288669e-06 	 3.163036951761245e-06 
0.00019280415870590669 	 3.845405190451985e-06 
3.2511903915789808e-06 	 2.869140887699101e-06 
2.640089802561429e-06 	 2.4453561829672252e-06 
2.2833257041509636e-06 	 2.157173800163269e-06 
2.036865741151769e-06 	 1.942909432934824e-06 
1.8437885092138258e-06 	 1.7644891054251508e-06 
1.6892031163251426e-06 	 1.6223624479060616e-06 
1.5565968680024692e-06 	 1.5029879023321754e-06 
1.4519663198118802e-06 	 1.4031373708681632e-06 
1.3490031769825559e-06 	 1.310518316623597e-06 
1.2651997832066971e-06 	 1.2279230418148992e-06 
0.00010451717302534304 	 1.712581360069073e-06 
1.4876399130523625e-06 	 1.35842497013556e-06 
1.263402209496193e-06 	 1.2045196354204011e-06 
1.145353856192963e-06 	 1.1024594558060556e-06 
1.0575791614180215e-06 	 1.0298102235833774e-06 
9.890954137716542e-07 	 9.649980223602273e-07 
9.333600028144648e-07 	 9.229291526973406e-07 
8.832354707262311e-07 	 8.680452205430311e-07 
8.437013945283717e-07 	 8.272030781443607e-07 
8.044249152200746e-07 	 7.932038239456389e-07 
7.710221294787002e-07 	 7.582893693652102e-07 
7.406135686119626e-07 	 7.293075494842584e-07 
7.112897616454698e-07 	 7.063604364043505e-07 
6.846650583823504e-07 	 6.747020954392362e-07 
6.611067393910665e-07 	 6.555269473889517e-07 
6.371245350114502e-07 	 6.336210428895824e-07 
6.189324777556689e-07 	 6.089551919986699e-07 
5.992065501053214e-07 	 5.942875574360671e-07 
5.808531587577605e-07 	 5.742732144961461e-07 
5.628585194170522e-07 	 5.576179751257387e-07 
5.475940140586736e-07 	 5.418674031195892e-07 
5.317255140539856e-07 	 5.276584183011803e-07 
5.176633313119618e-07 	 5.111206139200096e-07 
5.025395691461006e-07 	 4.997799469409169e-07 
4.90627574578956e-07 	 4.855013284120326e-07 
4.776607320138131e-07 	 4.7405453497570903e-07 
4.66540679135108e-07 	 4.616625701287097e-07 
4.5560093784140287e-07 	 4.514734460250287e-07 
0.0002380826699002487 	 1.9819110072753694e-06 
3.2561897033726896e-05 	 9.495741268704186e-07 
3.03977334505903e-05 	 7.36833307884952e-07 
1.2092601951935573e-06 	 7.217500147418037e-07 
6.348842935101155e-07 	 6.247914697606255e-07 
5.683636837191259e-07 	 5.525934684799116e-07 
5.278294399208048e-07 	 5.129097589298829e-07 
4.961326820760537e-07 	 4.879897408674251e-07 
4.71254475370455e-07 	 4.618711121224329e-07 
4.4962648809455254e-07 	 4.438137804222285e-07 
4.332645453340516e-07 	 4.287113648427189e-07 
4.170115703650268e-07 	 4.135542802990303e-07 
4.026212578399963e-07 	 3.9711396635438834e-07 
3.892189753925872e-07 	 3.8466936934532395e-07 
3.774908357384107e-07 	 3.738742148063026e-07 
3.6709626714036634e-07 	 3.6397743081804065e-07 
3.5730949709585855e-07 	 3.5411544266355643e-07 
3.4817816066577534e-07 	 3.4549131200279796e-07 
3.405972020115603e-07 	 3.3919515042214735e-07 
3.312490595853725e-07 	 3.300042685558756e-07 
3.2384949195542694e-07 	 3.214842128605392e-07 
3.165364212986227e-07 	 3.1619143896267815e-07 
3.63469362008183e-05 	 5.544389069315518e-07 
4.281782699704016e-07 	 3.9026568855620756e-07 
3.646843891507694e-07 	 3.5222190964580693e-07 
3.396586534821822e-07 	 3.3344045655018783e-07 
3.2321132444863744e-07 	 3.2085893436662326e-07 
3.118181018675619e-07 	 3.0918089677364436e-07 
3.0105242628892826e-07 	 2.963634565778894e-07 
2.931410982883917e-07 	 2.907875742777481e-07 
2.852209176122508e-07 	 2.824537231228583e-07 
2.781263141171935e-07 	 2.765434846354363e-07 
2.7225648799223435e-07 	 2.692487102824983e-07 
2.6556007732049616e-07 	 2.707963430393087e-07 
2.597555177249847e-07 	 2.5745395369625056e-07 
2.5457666146671913e-07 	 2.5279113695998195e-07 
2.500577026085473e-07 	 2.4948258544114793e-07 
2.45887946334222e-07 	 2.438387701425678e-07 
2.4157002745006397e-07 	 2.4006669291407145e-07 
2.36921569347379e-07 	 2.3590353498997767e-07 
2.3301969249544566e-07 	 2.3231347852499161e-07 
2.2936923273058838e-07 	 2.2836103742920884e-07 
2.2580538090757347e-07 	 2.261408732305557e-07 
2.2228819553015343e-07 	 2.2157232912792352e-07 
2.1972409608855324e-07 	 2.1823955126372504e-07 
2.158813641072745e-07 	 2.1607846141795688e-07 
2.1454918383233475e-07 	 2.1251203003394587e-07 
2.102429305917199e-07 	 2.0885764967648032e-07 
