Train Set 	 Validation Set 
0.9577404353073596 	 14.485576007383088 
0.3247379605983797 	 14.00036934927 
0.1695300227205558 	 5.099671357066919 
0.06385147109372619 	 1.5828289326201097 
0.028288218257470465 	 0.10367672155934868 
0.015100708685267597 	 0.0444409966680175 
0.0038323158045155833 	 0.0018398633845157074 
0.0008722878707967198 	 0.0017004300417471023 
0.00042719868128012075 	 0.0001519854485589007 
0.00016877134234290648 	 1.4147884553011028e-05 
0.00021291287073063402 	 1.0380322037364605e-05 
2.702335399734797e-05 	 8.07135249023633e-06 
0.001095575799000268 	 9.531362477301108e-06 
1.0577108507775697e-05 	 7.61264451568474e-06 
7.695397652052223e-05 	 5.922299022402395e-06 
5.212722528290737e-06 	 5.165750922673177e-06 
4.300226273268606e-06 	 3.96491860227159e-06 
2.3909610562260805e-05 	 4.005246003718174e-06 
3.593646518248092e-06 	 3.3754355778607236e-06 
3.10803253467353e-06 	 2.889429693913636e-06 
2.771284048088277e-06 	 2.6076076571519585e-06 
2.5172300685069564e-06 	 2.393900342586992e-06 
2.3198295928363917e-06 	 2.209132875293966e-06 
2.1455698776671e-06 	 2.0539139039630355e-06 
1.998664306039774e-06 	 1.921633001790937e-06 
1.8709524088076232e-06 	 1.798045466023832e-06 
1.7704101664527415e-06 	 1.7157956900125437e-06 
0.00012620945057377643 	 2.1748343723184586e-06 
1.853529889248982e-06 	 1.7003097850034683e-06 
1.6357638918962516e-06 	 1.5878896024881066e-06 
1.5244040504075787e-06 	 1.473100234652004e-06 
1.4405312371472293e-06 	 1.4040726345622366e-06 
3.969587344590718e-06 	 1.4302790987130722e-06 
1.3761190560428655e-06 	 1.321858699737548e-06 
1.2854844684101384e-06 	 1.2427287163144366e-06 
1.2245060126536927e-06 	 1.1852917263795397e-06 
1.1666097909360181e-06 	 1.135787512104011e-06 
1.1166468206226972e-06 	 1.3780029864734285e-06 
7.238136558697101e-05 	 1.4644019837444363e-06 
1.3439484852429777e-06 	 1.2515057014042997e-06 
1.2141271808290575e-06 	 1.1425690158282271e-06 
1.1183201473056869e-06 	 1.0727522936280148e-06 
1.05242740499697e-06 	 1.013988968541087e-06 
1.002566949070468e-06 	 9.733555479286237e-07 
9.662825036130682e-07 	 9.421744912384732e-07 
9.202049580922149e-07 	 8.952496329635993e-07 
8.851748562661278e-07 	 8.611731757016658e-07 
8.56358825470189e-07 	 8.361502882862687e-07 
8.265437996946391e-07 	 8.062630265112924e-07 
8.020397709778103e-07 	 7.822397044121497e-07 
1.121697520938905e-05 	 8.320445405507786e-07 
1.1374742708399867e-05 	 8.29684503392171e-07 
8.037079999567352e-07 	 7.794116564382549e-07 
1.38473601896729e-05 	 8.339074001730509e-07 
8.053179324318612e-07 	 7.702584211306494e-07 
7.552293492682172e-07 	 7.368112213217944e-07 
7.262526951134221e-07 	 7.085938724482362e-07 
7.078713182112525e-07 	 6.855902140469358e-07 
6.771847484153539e-07 	 6.664442790156982e-07 
9.387804932226504e-07 	 6.859005057415596e-07 
4.226207432629954e-05 	 1.0634093738473945e-06 
7.75227812902111e-07 	 7.311215159971001e-07 
7.050859230245132e-07 	 6.939782788838214e-07 
6.704136165743877e-07 	 6.518121549013054e-07 
6.390459907219128e-07 	 6.24605919024071e-07 
6.161985116935989e-07 	 6.097829759871553e-07 
5.960586825413315e-07 	 5.875415692881166e-07 
5.787289348769195e-07 	 5.674731840933438e-07 
5.623277999646044e-07 	 5.536423965709897e-07 
5.487961312548141e-07 	 5.381612744719943e-07 
5.347986969589154e-07 	 5.253705094606205e-07 
5.235987535339491e-07 	 5.148893747991034e-07 
5.138697472016005e-07 	 5.036315881025462e-07 
5.016535186661874e-07 	 4.928346725266095e-07 
4.900166108931102e-07 	 4.8326508860542e-07 
4.807540188373255e-07 	 4.738665517724652e-07 
4.720258992885229e-07 	 4.6313064893906214e-07 
4.6319402292635185e-07 	 4.5778525589360707e-07 
4.5558437669777616e-07 	 4.4915974601751914e-07 
4.4873845643429215e-07 	 4.4230299289478653e-07 
4.402448953858955e-07 	 4.3339881077817475e-07 
4.319463317646777e-07 	 4.26161268833376e-07 
4.269547010685616e-07 	 4.1966909811116186e-07 
4.181043063455501e-07 	 4.1367604647070975e-07 
4.116158694775312e-07 	 4.0718153912114995e-07 
4.055248542025173e-07 	 3.998982990990354e-07 
3.996161407520291e-07 	 3.9355264974711377e-07 
3.9358789801365265e-07 	 3.904559162360428e-07 
3.880416088137839e-07 	 3.827152681072652e-07 
3.8299233671566583e-07 	 3.792038267820059e-07 
3.770571879269808e-07 	 3.7373480776656976e-07 
3.719036569272498e-07 	 3.680838591717733e-07 
3.6724559961309646e-07 	 3.837211273203654e-07 
3.618272292859923e-07 	 3.5978556339704735e-07 
3.567329309032823e-07 	 3.5620967332599955e-07 
3.528018793353228e-07 	 3.48883822912704e-07 
3.4835690864996394e-07 	 3.434420451986813e-07 
3.440465086622585e-07 	 3.4160257281339436e-07 
3.4007748803750885e-07 	 3.3471377532192715e-07 
3.348851707638205e-07 	 3.3073028689549655e-07 
