Train Set 	 Validation Set 
0.9753079929380626 	 10.92836265022873 
0.32322385814134663 	 12.13278531013651 
0.17888986662195272 	 5.848302381258484 
0.08650472767703597 	 0.16520019139803893 
0.027275485955441353 	 0.07341742615961863 
0.007297667670030849 	 0.018693191362610946 
0.002737450227938586 	 0.33027573659064924 
0.000530471849282052 	 3.965923735824025e-05 
0.00013664842051632566 	 0.00026271378283772013 
0.000483818563562267 	 1.842470825480542e-05 
1.3928895955776358e-05 	 1.1231043191910689e-05 
0.00023693852401223601 	 1.0081635940207355e-05 
8.516733145249482e-06 	 7.409301586655556e-06 
6.664516839289861e-06 	 6.1075072076067585e-06 
3.6407432834652565e-05 	 6.632431737309924e-06 
2.2364907008678716e-05 	 4.94381227791235e-06 
3.511716373763949e-05 	 4.786192743693469e-06 
4.208049754604994e-06 	 3.844743422897209e-06 
5.3536608539805905e-05 	 4.043032696238613e-06 
3.5976769902722517e-06 	 3.31931238849928e-06 
3.1191076998675544e-06 	 2.9527410972266504e-06 
2.8067436542077458e-06 	 2.680193165038317e-06 
2.567987988251389e-06 	 2.468197567879465e-06 
2.3735564179011382e-06 	 2.2864384768484903e-06 
2.208117920695381e-06 	 2.146821313048259e-06 
2.064606109313694e-06 	 2.0056009552008485e-06 
1.94411632632711e-06 	 1.8888944112353117e-06 
1.8349782663645684e-06 	 1.7835375806595387e-06 
1.7379741731795506e-06 	 1.689224402380592e-06 
1.7060483844523124e-06 	 2.008863548132679e-06 
1.6918510159956558e-06 	 1.61099178706323e-06 
1.550704387259653e-06 	 1.5159600079899685e-06 
1.4697914054384403e-06 	 1.4355618470857837e-06 
1.4045905605371664e-06 	 1.3799805859476784e-06 
1.3694102056984073e-06 	 1.3249168708345216e-06 
1.293638320593715e-06 	 1.2701922279243035e-06 
1.245256060773181e-06 	 1.2168814864450098e-06 
1.1962161900300127e-06 	 1.1821832411971227e-06 
1.1505062047029184e-06 	 1.1344353853593205e-06 
1.1123399602111414e-06 	 1.0933045324229993e-06 
1.0727071147549366e-06 	 1.057821952812485e-06 
1.0409720671250012e-06 	 1.0285755268096628e-06 
1.008471830370068e-06 	 9.921346332729053e-07 
9.761441411547783e-07 	 9.662352896795823e-07 
9.508984737760866e-07 	 9.354344114502489e-07 
9.234502545476382e-07 	 9.120626874772316e-07 
8.045129576305764e-06 	 9.47885755135274e-07 
6.0602799390599255e-06 	 9.675168064162826e-07 
9.270696226018668e-07 	 9.013152337386002e-07 
8.807337254023709e-07 	 8.64703751892406e-07 
8.451482708157503e-07 	 8.318756260986131e-07 
8.211774901540098e-07 	 8.095308700011892e-07 
7.973205687493041e-07 	 7.84621983876469e-07 
7.751238289440436e-07 	 7.655734704022629e-07 
1.2447520447067022e-05 	 8.303962829762223e-07 
7.944488493034236e-07 	 7.669434596873994e-07 
7.48213746877148e-07 	 7.366306672725417e-07 
7.239926087936941e-07 	 7.147025161888037e-07 
7.053752744591245e-07 	 6.974986821183098e-07 
6.845319697021324e-07 	 6.767228979110414e-07 
6.697847573163334e-07 	 6.600618064164101e-07 
6.551369919480126e-07 	 6.464634246230749e-07 
6.400610250481685e-07 	 6.313752308428035e-07 
6.264653464126755e-07 	 6.205735533203165e-07 
6.142190856615415e-07 	 6.086477846923677e-07 
6.01290096294906e-07 	 5.960472242108192e-07 
5.91013302814924e-07 	 5.844076811446411e-07 
5.786241499590174e-07 	 5.731351538610823e-07 
5.689471547252406e-07 	 5.651590127202951e-07 
5.588845651076945e-07 	 5.54253118231782e-07 
5.495637968752667e-07 	 5.438907161684863e-07 
5.395299296133098e-07 	 5.365450298208772e-07 
5.295583101883146e-07 	 5.259486231562275e-07 
5.221430923802886e-07 	 5.15104508997975e-07 
5.121870822840497e-07 	 5.094317913894786e-07 
5.053585739669055e-07 	 5.015679809072568e-07 
4.957920500537059e-07 	 4.933940335380199e-07 
4.897716070567129e-07 	 4.868065263237557e-07 
4.813175912821634e-07 	 4.776804565263382e-07 
4.7381103657570276e-07 	 4.709020795933045e-07 
4.7511423738312495e-07 	 4.6432974271841406e-07 
4.6100457551680893e-07 	 4.57107974217632e-07 
4.540689032158125e-07 	 4.508848260616588e-07 
4.4741016232000435e-07 	 4.47922274464395e-07 
4.41876213007779e-07 	 4.3957717115782344e-07 
4.348013206983172e-07 	 4.3218918766255454e-07 
4.292133819304646e-07 	 4.2634214862363934e-07 
4.238157607678597e-07 	 4.222524460517709e-07 
4.178459822585767e-07 	 4.1507781082384466e-07 
4.130541018550791e-07 	 4.128359854003583e-07 
4.0751419503199053e-07 	 4.128683063264355e-07 
4.006555066947875e-07 	 3.9906682259436614e-07 
3.959925970821453e-07 	 3.934535503013642e-07 
3.9149703334974675e-07 	 3.891490658791921e-07 
3.883714224586806e-07 	 3.848575659452093e-07 
3.8172113823786554e-07 	 3.802999896272903e-07 
3.7846875106682534e-07 	 3.7688801702843054e-07 
3.73989309570568e-07 	 3.711672082749989e-07 
3.708272134477476e-07 	 3.667802726753417e-07 
3.642184907534475e-07 	 3.6262803831127814e-07 
